matrix, threads, schedules type, chunk size, time (ms)
../data/twotone.mtx, 1, seq, NULL, 1.442909
../data/twotone.mtx, 1, seq, NULL, 1.388073
../data/twotone.mtx, 1, seq, NULL, 1.332045
../data/twotone.mtx, 1, seq, NULL, 1.308918
../data/twotone.mtx, 1, seq, NULL, 1.311064
../data/twotone.mtx, 1, seq, NULL, 1.313210
../data/twotone.mtx, 1, seq, NULL, 1.327991
../data/twotone.mtx, 1, seq, NULL, 1.305103
../data/twotone.mtx, 1, seq, NULL, 1.297951
../data/twotone.mtx, 1, seq, NULL, 1.298904
../data/twotone.mtx, 2, static, 100, 1.013994
../data/twotone.mtx, 2, static, 100, 0.762939
../data/twotone.mtx, 2, static, 100, 0.706911
../data/twotone.mtx, 2, static, 100, 0.708103
../data/twotone.mtx, 2, static, 100, 0.709057
../data/twotone.mtx, 2, static, 100, 0.706911
../data/twotone.mtx, 2, static, 100, 0.701904
../data/twotone.mtx, 2, static, 100, 0.701904
../data/twotone.mtx, 2, static, 100, 0.708103
../data/twotone.mtx, 2, static, 100, 0.708103
../data/twotone.mtx, 2, static, 1000, 0.926018
../data/twotone.mtx, 2, static, 1000, 0.718117
../data/twotone.mtx, 2, static, 1000, 0.667810
../data/twotone.mtx, 2, static, 1000, 0.676870
../data/twotone.mtx, 2, static, 1000, 0.668049
../data/twotone.mtx, 2, static, 1000, 0.660181
../data/twotone.mtx, 2, static, 1000, 0.666857
../data/twotone.mtx, 2, static, 1000, 0.663996
../data/twotone.mtx, 2, static, 1000, 0.659943
../data/twotone.mtx, 2, static, 1000, 0.665188
../data/twotone.mtx, 2, static, 10000, 0.895023
../data/twotone.mtx, 2, static, 10000, 0.704050
../data/twotone.mtx, 2, static, 10000, 0.657082
../data/twotone.mtx, 2, static, 10000, 0.661850
../data/twotone.mtx, 2, static, 10000, 0.656843
../data/twotone.mtx, 2, static, 10000, 0.662804
../data/twotone.mtx, 2, static, 10000, 0.659943
../data/twotone.mtx, 2, static, 10000, 0.655174
../data/twotone.mtx, 2, static, 10000, 0.657082
../data/twotone.mtx, 2, static, 10000, 0.658989
../data/twotone.mtx, 2, dynamic, 100, 1.038074
../data/twotone.mtx, 2, dynamic, 100, 0.789165
../data/twotone.mtx, 2, dynamic, 100, 0.748158
../data/twotone.mtx, 2, dynamic, 100, 0.699043
../data/twotone.mtx, 2, dynamic, 100, 0.701904
../data/twotone.mtx, 2, dynamic, 100, 0.702143
../data/twotone.mtx, 2, dynamic, 100, 0.700951
../data/twotone.mtx, 2, dynamic, 100, 0.694990
../data/twotone.mtx, 2, dynamic, 100, 0.697851
../data/twotone.mtx, 2, dynamic, 100, 0.702858
../data/twotone.mtx, 2, dynamic, 1000, 0.919104
../data/twotone.mtx, 2, dynamic, 1000, 0.699997
../data/twotone.mtx, 2, dynamic, 1000, 0.648022
../data/twotone.mtx, 2, dynamic, 1000, 0.622988
../data/twotone.mtx, 2, dynamic, 1000, 0.620842
../data/twotone.mtx, 2, dynamic, 1000, 0.615120
../data/twotone.mtx, 2, dynamic, 1000, 0.620842
../data/twotone.mtx, 2, dynamic, 1000, 0.621796
../data/twotone.mtx, 2, dynamic, 1000, 0.617981
../data/twotone.mtx, 2, dynamic, 1000, 0.625134
../data/twotone.mtx, 2, dynamic, 10000, 0.895023
../data/twotone.mtx, 2, dynamic, 10000, 0.688791
../data/twotone.mtx, 2, dynamic, 10000, 0.652075
../data/twotone.mtx, 2, dynamic, 10000, 0.642061
../data/twotone.mtx, 2, dynamic, 10000, 0.641108
../data/twotone.mtx, 2, dynamic, 10000, 0.616074
../data/twotone.mtx, 2, dynamic, 10000, 0.606060
../data/twotone.mtx, 2, dynamic, 10000, 0.644922
../data/twotone.mtx, 2, dynamic, 10000, 0.639200
../data/twotone.mtx, 2, dynamic, 10000, 0.622988
../data/twotone.mtx, 2, guided, 100, 0.889063
../data/twotone.mtx, 2, guided, 100, 0.694036
../data/twotone.mtx, 2, guided, 100, 0.613928
../data/twotone.mtx, 2, guided, 100, 0.602007
../data/twotone.mtx, 2, guided, 100, 0.603914
../data/twotone.mtx, 2, guided, 100, 0.607014
../data/twotone.mtx, 2, guided, 100, 0.607014
../data/twotone.mtx, 2, guided, 100, 0.610828
../data/twotone.mtx, 2, guided, 100, 0.612020
../data/twotone.mtx, 2, guided, 100, 0.605106
../data/twotone.mtx, 2, guided, 1000, 0.883102
../data/twotone.mtx, 2, guided, 1000, 0.679016
../data/twotone.mtx, 2, guided, 1000, 0.669956
../data/twotone.mtx, 2, guided, 1000, 0.633955
../data/twotone.mtx, 2, guided, 1000, 0.603199
../data/twotone.mtx, 2, guided, 1000, 0.605822
../data/twotone.mtx, 2, guided, 1000, 0.606060
../data/twotone.mtx, 2, guided, 1000, 0.600100
../data/twotone.mtx, 2, guided, 1000, 0.604153
../data/twotone.mtx, 2, guided, 1000, 0.602007
../data/twotone.mtx, 2, guided, 10000, 0.910044
../data/twotone.mtx, 2, guided, 10000, 0.683069
../data/twotone.mtx, 2, guided, 10000, 0.641823
../data/twotone.mtx, 2, guided, 10000, 0.607014
../data/twotone.mtx, 2, guided, 10000, 0.608921
../data/twotone.mtx, 2, guided, 10000, 0.610828
../data/twotone.mtx, 2, guided, 10000, 0.603914
../data/twotone.mtx, 2, guided, 10000, 0.611067
../data/twotone.mtx, 2, guided, 10000, 0.611067
../data/twotone.mtx, 2, guided, 10000, 0.608921
../data/twotone.mtx, 4, static, 100, 0.638008
../data/twotone.mtx, 4, static, 100, 0.391006
