matrix,threads,schedule,chunk,L1_dcache_loads,L1_dcache_load_misses,LLC_loads,LLC_misses,time_ms
twotone,1,static,100,737761110,2476215,16873,6145,
twotone,1,static,100,737761108,2504670,15910,2717,
twotone,1,static,100,737761109,2475263,16362,2724,
twotone,1,static,100,737761108,2456959,15989,2131,
twotone,1,static,100,737761107,2502592,16062,2528,
twotone,2,static,100,737761108,2469259,15865,2279,
twotone,2,static,100,737761109,2470570,16187,2489,
twotone,2,static,100,737761109,2453661,16195,2745,
twotone,2,static,100,737761109,2465636,16079,2666,
twotone,2,static,100,737761109,2466848,15915,2722,
twotone,2,static,1000,737761110,2476729,16187,3059,
twotone,2,static,1000,737761110,2483730,15747,2512,
twotone,2,static,1000,737761110,2461278,15959,2656,
twotone,2,static,1000,737761108,2476561,16204,2497,
twotone,2,static,1000,737761110,2490434,15838,2458,
twotone,2,static,10000,737761111,2486938,15780,2657,
twotone,2,static,10000,737761111,2458878,15949,2456,
twotone,2,static,10000,737761110,2468666,16104,2483,
twotone,2,static,10000,737761110,2477852,15482,2413,
twotone,2,static,10000,737761111,2472440,15854,2350,
twotone,2,dynamic,100,737761430,2478391,16112,2449,
twotone,2,dynamic,100,737761430,2486824,16063,2574,
twotone,2,dynamic,100,737761430,2477617,16073,2593,
twotone,2,dynamic,100,737761429,2487155,16478,2630,
twotone,2,dynamic,100,737761430,2471590,15733,2455,
twotone,2,dynamic,1000,737761431,2480803,16554,3002,
twotone,2,dynamic,1000,737761431,2470228,15847,2480,
twotone,2,dynamic,1000,737761431,2484654,16345,2854,
twotone,2,dynamic,1000,737761431,2476465,15972,2713,
twotone,2,dynamic,1000,737761429,2488089,15887,2614,
twotone,2,dynamic,10000,737761432,2477802,16387,2449,
twotone,2,dynamic,10000,737761432,2464003,15556,2268,
twotone,2,dynamic,10000,737761432,2454798,16168,2372,
twotone,2,dynamic,10000,737761432,2454998,16370,2482,
twotone,2,dynamic,10000,737761432,2472326,16150,2419,
twotone,2,guided,100,737761433,2460843,16159,2531,
twotone,2,guided,100,737761433,2460479,16102,2505,
twotone,2,guided,100,737761433,2467818,15928,2368,
twotone,2,guided,100,737761432,2453600,16146,2162,
twotone,2,guided,100,737761433,2465850,15776,2301,
twotone,2,guided,1000,737761434,2475648,15979,2274,
twotone,2,guided,1000,737761434,2458382,15827,2498,
twotone,2,guided,1000,737761433,2450657,16451,2658,
twotone,2,guided,1000,737761434,2458110,16195,2700,
twotone,2,guided,1000,737761435,2483191,15705,2447,
twotone,2,guided,10000,737761435,2449822,15563,2602,
twotone,2,guided,10000,737761435,2467809,16405,2845,
twotone,2,guided,10000,737761435,2503167,16313,2684,
twotone,2,guided,10000,737761435,2475976,16276,2659,
twotone,2,guided,10000,737761433,2470455,15725,2480,
twotone,4,static,100,737761108,2475499,16114,2611,
twotone,4,static,100,737761109,2481852,16069,2459,
twotone,4,static,100,737761109,2477382,16267,2202,
twotone,4,static,100,737761109,2464605,15983,2188,
twotone,4,static,100,737761108,2471023,16072,2317,
twotone,4,static,1000,737761110,2455496,15673,2058,
twotone,4,static,1000,737761109,2469595,16314,3021,
twotone,4,static,1000,737761110,2467987,16184,2763,
twotone,4,static,1000,737761110,2474331,16201,2624,
twotone,4,static,1000,737761109,2463779,15695,2529,
twotone,4,static,10000,737761111,2464973,15789,2563,
twotone,4,static,10000,737761111,2508492,16258,2659,
twotone,4,static,10000,737761112,2475293,16244,2657,
twotone,4,static,10000,737761110,2462128,16173,2652,
twotone,4,static,10000,737761111,2493498,16408,2713,
twotone,4,dynamic,100,737761430,2468761,16362,2527,
twotone,4,dynamic,100,737761430,2468150,15960,2356,
twotone,4,dynamic,100,737761430,2543359,15632,2122,
twotone,4,dynamic,100,737761429,2451590,15822,2425,
twotone,4,dynamic,100,737761430,2482112,15737,2843,
twotone,4,dynamic,1000,737761431,2497168,16331,2668,
twotone,4,dynamic,1000,737761431,2454348,16569,2492,
twotone,4,dynamic,1000,737761431,2474718,16103,2479,
twotone,4,dynamic,1000,737761431,2484555,16078,2303,
