matrix,size,time_comunication_ms,time_multiplication_ms,gflops,avg_nnz,global_min_nnz,global_max_nnz,avg_comm,global_min_comm,global_max_comm
../data/twotone.mtx, 1, 0.000005, 2.066851, 1.184627, 1224224.000000, 1224224, 1224224, 0.000000, 0, 0
../data/twotone.mtx, 2, 0.001953, 1.066446, 2.295894, 612112.000000, 606569, 617655, 115483.000000, 115483, 115483
../data/twotone.mtx, 4, 0.004072, 0.830173, 2.949321, 306056.000000, 303268, 308856, 153850.000000, 153661, 154053
../data/twotone.mtx, 8, 0.002656, 0.425577, 5.753241, 153028.000000, 151617, 154495, 128024.250000, 126293, 129795
../data/twotone.mtx, 16, 0.002791, 0.204563, 11.969155, 76514.000000, 75797, 77254, 81876.125000, 79378, 84264
../data/twotone.mtx, 32, 0.002724, 0.108480, 22.570407, 38257.000000, 37811, 38743, 49425.812500, 47886, 51087
../data/twotone.mtx, 64, 0.003847, 0.061512, 39.804400, 19128.500000, 18818, 19456, 27404.343750, 26291, 28522
../data/twotone.mtx, 128, 0.011099, 0.066757, 36.676912, 9564.250000, 9381, 9781, 15069.828125, 14265, 15917
../data/HV15R.mtx, 1, 0.000020, 574.169159, 0.986028, 283073458.000000, 283073458, 283073458, 0.000000, 0, 0
../data/HV15R.mtx, 2, 0.048213, 330.150366, 1.714815, 141536729.000000, 141536681, 141536777, 2017022.000000, 2017022, 2017022
../data/HV15R.mtx, 4, 0.065776, 187.993288, 3.011527, 70768364.500000, 70767915, 70768766, 3021082.000000, 3021055, 3021103
../data/HV15R.mtx, 8, 0.088858, 98.773479, 5.731771, 35384182.250000, 35383313, 35385230, 3522634.250000, 3522583, 3522682
../data/HV15R.mtx, 16, 0.318442, 54.557562, 10.377057, 17692091.125000, 17691517, 17693302, 3768541.000000, 3768365, 3768677
../data/HV15R.mtx, 32, 0.570746, 35.689831, 15.862976, 8846045.562500, 8844120, 8848166, 3873305.250000, 3872822, 3873823
../data/HV15R.mtx, 64, 1.088045, 36.534548, 15.496207, 4423022.781250, 4420492, 4427101, 3662112.718750, 3659121, 3664796
../data/HV15R.mtx, 128, 1.805027, 20.798922, 27.220013, 2211511.390625, 2209556, 2213727, 2832588.156250, 2828255, 2836489
../data/cage15.mtx, 1, 0.000012, 236.201763, 0.839956, 99199551.000000, 99199551, 99199551, 0.000000, 0, 0
../data/cage15.mtx, 2, 0.117338, 141.939878, 1.397769, 49599775.500000, 49599206, 49600345, 5149429.000000, 5149429, 5149429
../data/cage15.mtx, 4, 0.179699, 92.894316, 2.135751, 24799887.750000, 24726258, 24872948, 6477970.000000, 6223812, 6733617
../data/cage15.mtx, 8, 0.322690, 54.904461, 3.613533, 12399943.875000, 12360265, 12439368, 5868575.000000, 5542170, 6113916
../data/cage15.mtx, 16, 0.486202, 29.352903, 6.759096, 6199971.937500, 6179191, 6221692, 4449895.750000, 4217886, 4583085
../data/cage15.mtx, 32, 0.696018, 23.160934, 8.566110, 3099985.968750, 3088388, 3112621, 3026322.125000, 2891071, 3096592
../data/cage15.mtx, 64, 0.547554, 18.741369, 10.586158, 1549992.984375, 1543934, 1556505, 1900998.843750, 1834216, 1935849
../data/cage15.mtx, 128, 1.963148, 12.805462, 15.493319, 774996.492188, 771656, 778405, 1112919.390625, 1083684, 1128342
../data/torso1.mtx, 1, 0.000007, 16.604424, 1.025811, 8516500.000000, 8516500, 8516500, 0.000000, 0, 0
../data/torso1.mtx, 2, 0.008851, 8.929014, 1.907601, 4258250.000000, 4257586, 4258914, 116158.000000, 116158, 116158
../data/torso1.mtx, 4, 0.013854, 4.361629, 3.905192, 2129125.000000, 2125538, 2132048, 158965.000000, 158933, 158995
../data/torso1.mtx, 8, 0.002435, 2.243280, 7.592898, 1064562.500000, 1062281, 1067835, 107093.500000, 106655, 107561
../data/torso1.mtx, 16, 0.002069, 1.320362, 12.900249, 532281.250000, 524919, 537362, 61635.625000, 61338, 61889
../data/torso1.mtx, 32, 0.001961, 0.735283, 23.165233, 266140.625000, 258533, 270976, 38742.562500, 38539, 38945
../data/torso1.mtx, 64, 0.002705, 0.468254, 36.375550, 133070.312500, 125340, 137783, 27252.781250, 27003, 27486
../data/torso1.mtx, 128, 0.007702, 0.346422, 49.168328, 66535.156250, 45433, 86792, 26526.765625, 25645, 27403
../data/memchip.mtx, 1, 0.000011, 35.768509, 0.828114, 14810202.000000, 14810202, 14810202, 0.000000, 0, 0
../data/memchip.mtx, 2, 0.036644, 24.332047, 1.217341, 7405101.000000, 7351808, 7458394, 2700421.000000, 2700421, 2700421
../data/memchip.mtx, 4, 0.064637, 18.195152, 1.627928, 3702550.500000, 3675383, 3729928, 3311814.500000, 3294323, 3333324
../data/memchip.mtx, 8, 0.056839, 10.394335, 2.849668, 1851275.250000, 1837474, 1864988, 2281428.750000, 2263596, 2301993
../data/memchip.mtx, 16, 0.234258, 6.350040, 4.664601, 925637.625000, 918598, 932505, 1313824.625000, 1301638, 1326690
../data/memchip.mtx, 32, 0.253341, 3.289461, 9.004637, 462818.812500, 459163, 466324, 702514.937500, 694862, 710835
../data/memchip.mtx, 64, 0.229333, 2.896070, 10.227791, 231409.406250, 229580, 233167, 366318.312500, 361691, 370122
../data/memchip.mtx, 128, 0.237234, 1.580715, 18.738609, 115704.703125, 114754, 116620, 186157.312500, 183427, 187915
